title,rent_per_period,rent_period,region,property_size_sqm,bedrooms,bathrooms,furnishing,listing_by,user_id,is_owner,can_view_contacts,status,property_url,description,property_address,estate_name,condition,toilets,ranter_or_agent_name,time_on_jiji,property_details
2bdrm Apartment in Kilimani for Rent,55000,per month,"Nairobi, Kilimani",1234,2,1,Unfurnished,,2385290,False,True,active,/kilimani/houses-apartments-for-rent/2bdrm-apartment-in-kilimani-for-rent-clifyu5pQT8H3cURSnxxe6d2.html,,"Nairobi, Kilimani, 1 hour ago",,Newly-Built,,derick otieno,5 y 2 m on Jiji,Executive two bedroom to let with water and good security
Bedsitors To Let In Kilimani,18000,,"Nairobi, Kilimani",1234,1,1,Unfurnished,,2385290,False,True,active,/kilimani/houses-apartments-for-rent/bedsitors-to-let-in-kilimani-BxbmHVGMRCLk0RAYCGEvLBB7.html,,"Nairobi, Kilimani, 1 hour ago",,Newly-Built,,derick otieno,5 y 2 m on Jiji,bedsitors to let with water is good
1bdrm Apartment in Jamhuri for Rent,25000,per month,"Jamhuri, Jamhuri Estate",1234,1,1,Unfurnished,,2385290,False,True,active,/jamhuri-estate/houses-apartments-for-rent/1bdrm-apartment-in-jamhuri-for-rent-mBu4RMpvt0kHqAnypF8WEmnc.html,,"Nairobi, Jamhuri, Jamhuri Estate, 1 hour ago",jamhuri,Newly-Built,,derick otieno,5 y 2 m on Jiji,1 bedroom with water and sewer is good
Executive One Bedroom Fully Furnished in Kilimani Yaya,100000,per month,"Nairobi, Kilimani",1234,1,1,Furnished,,2385290,False,True,active,/kilimani/houses-apartments-for-rent/executive-one-bedroom-fully-furnished-in-kilimani-yaya-m8f7Yr7pL0JnVUwEraGYEaTN.html,,"Nairobi, Kilimani, 1 hour ago",kilimani,Newly-Built,,derick otieno,5 y 2 m on Jiji,"Executive one bedroom fully furnished with ample parking,swimming pool,water,good security"
1bdrm Apartment in Kilimani for rent,25000,per month,"Nairobi, Kilimani",1234,1,1,Unfurnished,,2385290,False,True,active,/kilimani/houses-apartments-for-rent/1bdrm-apartment-in-kilimani-for-rent-AXJRiiHkCXQyGQc7MRSzFoik.html,,"Nairobi, Kilimani, 1 hour ago",kilimani,Newly-Built,,derick otieno,5 y 2 m on Jiji,Sevant quater self contained to let with water and good security and backup generator
"3bdrm Townhouse/Terrace in Sultan, Kikambala for Rent",120000,per month,"Kilifi South, Kikambala",500,3,4,Semi-Furnished,,3221861,False,True,active,/kikambala/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-sultan-kikambala-for-rent-eZdzqI5PI9AyYFm4zlpTDJzp.html,,"Kilifi, Kilifi South, Kikambala, 1 hour ago",Sultan,Newly-Built,,Sky Miles Properties,4 y 4 m on Jiji,"3 Bedrooms townhouse own compound with a shared swimming pool on a Gated community available for long term rental,these villas are located in kikambala first row facing the Indian ocean,its a nice home for a family,cool and quiet environment,we have enough car parking space,kids playing ground,mini-Supermarket,its also a few minutes drive to vipingo ridge golf club... our monthly rates for the townhouse villas its monthly."
3bdrm Apartment in Nyali for rent,69500,per month,"Mombasa, Nyali",,3,3,Unfurnished,,1758750,False,True,active,/nyali/houses-apartments-for-rent/3bdrm-apartment-in-nyali-for-rent-xwLFP6DGIQximtTyat0VgLu9.html,,"Mombasa, Nyali, 1 hour ago",,Newly-Built,,SAFI REEF HOMES,6 y 1 m on Jiji,"Fantastic 3 bedroom to let in Nyali off greenwood drive,
There is a lift, back up generator, borehole and fresh water, security is on top gear, spacious rooms, dining space, enclosed kitchen, pantry area, all rooms fitted with large inbuilt wardrobes. Quite and private neighborhood."
4bdrm Villa in Shanzu for Rent,90000,per month,"Mombasa, Shanzu",3400,4,3,Unfurnished,,1758750,False,True,active,/shanzu/houses-apartments-for-rent/4bdrm-villa-in-shanzu-for-rent-8reZsmaMyeATvQicj4I6So6e.html,,"Mombasa, Shanzu, 1 hour ago",,Fairly Used,,SAFI REEF HOMES,6 y 1 m on Jiji,"4 bedroom Villa for rent in Shanzu Mombasa County, the villa is a gated shared community, meaning security guards man the main gate, shared pool, borehole water, the security in the estate is very good and so no worries at all, rent inclusive of service charge."
2bdrm Apartment in South B for rent,30000,per month,"Nairobi, South B",30,2,2,Unfurnished,,2891931,False,True,active,/south-b/houses-apartments-for-rent/2bdrm-apartment-in-south-b-for-rent-8y0jb0XQy1ijGOQZDjUrnfHP.html,,"Nairobi, South B, 1 hour ago",south B,Fairly Used,,Mary Shiro,4 y 8 m on Jiji,"2bedroom to let in south B ,rooms well lit, in a gated community ,no water issue"
4bdrm Mansion in Mutero Kirarapion for rent,250000,per month,"Karen, Karen C",500,4,5,Unfurnished,,3213855,False,True,active,/karen-c/houses-apartments-for-rent/4bdrm-mansion-in-mutero-kirarapion-for-rent-B0tlw4rQwN5TQBzZzb3WgjEx.html,,"Nairobi, Karen, Karen C, 1 hour ago",mutero kirarapion road Karen,Newly-Built,,Greensleeve Property,4 y 4 m on Jiji,4bedrooms mansion for rent Karen mutero kirarapion road all eunsit gated community 3houses swimming pools and gym rent 250k
1bdrm Duplex in Mtwapa for Rent,250000,per month,"Kilifi, Mtwapa",1000,1,5,Semi-Furnished,,3221861,False,True,active,/mtwapa/houses-apartments-for-rent/1bdrm-duplex-in-mtwapa-for-rent-wYPUX6WYYCcHjpahr7BtQoIk.html,,"Kilifi, Mtwapa, 1 hour ago",Mtwapa,Fairly Used,,Sky Miles Properties,4 y 4 m on Jiji,"Bar&restaurant available for lease. This property is located at Mtwapa facing the highway Mbs-Mlnd road,its a famous place previous was known as Danka club.
for now, we are looking for someone to lease the club area,we have lounge area,full equipped kitchen, and enough car parking space.
This place can hold a huge crowd of people.
for more information call or Email"
"5bdrm Townhouse/Terrace in Mutero, Hardy for Rent",300000,per month,"Karen, Hardy",500,5,5,Unfurnished,,3213855,False,True,active,/hardy/houses-apartments-for-rent/5bdrm-townhouse-terrace-in-mutero-hardy-for-rent-ffktUipbPNVqJgvCP2dZqMWz.html,,"Nairobi, Karen, Hardy, 1 hour ago",mutero,Renovated,,Greensleeve Property,4 y 4 m on Jiji,5bedrooms townhouse gated community 12 houses with swimming pool rent dsq’s for 2 rent 300k
