title,price,region,property_size_sqm,bedrooms,bathrooms,furnishing,listing_by,user_id,is_owner,can_view_contacts,status,property_url,description,property_address,estate_name,condition,toilets,seller_or_agent_name,time_on_jiji
"7bdrm Maisonette in Clay City, Kasarani for Sale",35000000,"Nairobi, Kasarani",280,7,5,Semi-Furnished,,1536196,False,True,active,/kasarani/houses-apartments-for-sale/7bdrm-maisonette-in-clay-city-kasarani-for-sale-s84zbZG1CWtIExskxNygSg3O.html,,"Nairobi, Kasarani, 43 min ago",,Renovated,,kikabu builders,6 y 1 m on Jiji
3bdrm Bungalow in Nkoroi for sale,8500000,"Ongata Rongai, Nkoroi",255,3,3,Unfurnished,,1080234,False,True,active,/nkoroi/houses-apartments-for-sale/3bdrm-bungalow-in-nkoroi-for-sale-3zWcNWMWn0MGTMZkHS4iGKx2.html,,"Kajiado, Ongata Rongai, Nkoroi, 38 min ago",,Newly-Built,,Prophexodus General Agencies,6 y 1 m on Jiji
3bdrm Bungalow in Kiserian for sale,6500000,"Kajiado, Kiserian",250,3,3,Unfurnished,,1080234,False,True,active,/kiserian/houses-apartments-for-sale/3bdrm-bungalow-in-kiserian-for-sale-3eRlVoQXCfxzwXE3ReI1L9mL.html,,"Kajiado, Kiserian, 38 min ago",,Newly-Built,,Prophexodus General Agencies,6 y 1 m on Jiji
Furnished 3bdrm House in Nairobi Central for sale,285000000,"Nairobi, Nairobi Central",300,3,2,Furnished,,2036962,False,True,active,/nairobi-central/houses-apartments-for-sale/furnished-3bdrm-house-in-nairobi-central-for-sale-uveIbrORKMZ0NE6aRZ09HspO.html,,"Nairobi, Nairobi Central, 21 min ago",,Renovated,,Ndungu Alex Mbugua,5 y 10 m on Jiji
"Furnished 5bdrm House in Mombasa, Nairobi Central for sale",170000000,"Nairobi, Nairobi Central",12,5,3,Furnished,,2036962,False,True,active,/nairobi-central/houses-apartments-for-sale/furnished-5bdrm-house-in-mombasa-nairobi-central-for-sale-zuSGAGQdoDxZbs7CR2TybXWl.html,,"Nairobi, Nairobi Central, 21 min ago",,Renovated,,Ndungu Alex Mbugua,5 y 10 m on Jiji
Furnished 2bdrm Villa in Watamu Beach for sale,28800000,"Kilifi North, Watamu",999,2,2,Furnished,,2163321,False,True,active,/watamu/houses-apartments-for-sale/furnished-2bdrm-villa-in-watamu-beach-for-sale-grsoG6DZng7sZy8ALHcsFtVC.html,,"Kilifi, Kilifi North, Watamu, 58 min ago",,Newly-Built,2,comfort,5 y 7 m on Jiji
3bdrm Bungalow in Kitengela for sale,7500000,"Kajiado, Kitengela",150,3,3,Unfurnished,,2676581,False,True,active,/kitengela/houses-apartments-for-sale/3bdrm-bungalow-in-kitengela-for-sale-mSZ3Citb4dMOVgpn0BtFOQlk.html,,"Kajiado, Kitengela, 48 min ago",,Newly-Built,3,KIJANI AFRICA,4 y 10 m on Jiji
2bdrm Block of Flats in Juja for sale,300000000,"Kiambu, Juja",10,2,1,Unfurnished,,1275662,False,True,active,/juja/houses-apartments-for-sale/2bdrm-block-of-flats-in-juja-for-sale-kkLyKwt3FlPsYt6Owaj9pPva.html,,"Kiambu, Juja, 48 min ago",,Newly-Built,1,PAYCE AXIS,6 y 1 m on Jiji
"5bdrm Maisonette in Green Rhino Kiahuria, Kabete for sale",8300000,"Kiambu, Kabete",464,5,3,Unfurnished,Owner,4378803,False,True,active,/kabete/houses-apartments-for-sale/5bdrm-maisonette-in-green-rhino-kiahuria-kabete-for-sale-cwdZ8wgbALN35TqCy3fsJQPA.html,,"Kiambu, Kabete, 45 min ago",,Fairly Used,3,Stephen Waweru,3 y on Jiji
4bdrm Bungalow in Rimpa for sale,8500000,"Ongata Rongai, Rimpa",250,4,3,Unfurnished,,1080234,False,True,active,/rimpa/houses-apartments-for-sale/4bdrm-bungalow-in-rimpa-for-sale-8Z4rOmtyrn8HvZ330a64R5zB.html,,"Kajiado, Ongata Rongai, Rimpa, 45 min ago",,Newly-Built,,Prophexodus General Agencies,6 y 1 m on Jiji
